SURVEY_DATE,PRODUCT_ID,PRODUCT_NAME,,VAT,EXCISE,NET,CHANGE,PRICE
07-05-2007,5,LPG,,103.56,125.27,392.55,0,621.38
07-05-2007,6,Residual fuel oil,,61.43,166.84,447.5,2.54,675.77
07-05-2007,8,Heavy fuel oil,,0,31.39,301.72,3.03,333.11
14-05-2007,1,Euro-Super 95,,218.8,564,530.03,3.4,1312.83
14-05-2007,2,Automotive gas oil,,188.17,416,524.83,-0.3,1129
14-05-2007,3,Heating gas oil,,181.81,403.21,505.82,-0.66,1090.84
14-05-2007,5,LPG,,103.31,125.27,391.31,-1.49,619.89
14-05-2007,6,Residual fuel oil,,61.35,166.84,446.64,-0.94,674.83
14-05-2007,8,Heavy fuel oil,,0,31.39,296.42,-5.3,327.81
21-05-2007,1,Euro-Super 95,,221.09,564,541.46,13.72,1326.55
21-05-2007,2,Automotive gas oil,,188.65,416,527.24,2.89,1131.89
21-05-2007,3,Heating gas oil,,182.94,403.21,511.5,6.81,1097.65
21-05-2007,5,LPG,,102.91,125.27,389.29,-2.42,617.47
21-05-2007,6,Residual fuel oil,,61.6,166.84,449.16,2.77,677.6
21-05-2007,8,Heavy fuel oil,,0,31.39,302.31,5.89,333.7
28-05-2007,1,Euro-Super 95,,223.79,564,554.94,16.18,1342.73
28-05-2007,2,Automotive gas oil,,189.89,416,533.44,7.44,1139.33
28-05-2007,3,Heating gas oil,,183.58,403.21,514.69,3.83,1101.48
28-05-2007,5,LPG,,102.66,125.27,388.04,-1.5,615.97
28-05-2007,6,Residual fuel oil,,61.78,166.84,450.96,1.98,679.58
28-05-2007,8,Heavy fuel oil,,0,31.39,313.31,11,344.7
04-06-2007,1,Euro-Super 95,,223.98,564,555.87,1.12,1343.85
04-06-2007,2,Automotive gas oil,,191.3,423,533.48,8.45,1147.78
04-06-2007,3,Heating gas oil,,182.12,403.21,507.37,-8.78,1092.7
04-06-2007,5,LPG,,102.66,125.27,388.04,0,615.97
04-06-2007,6,Residual fuel oil,,61.8,166.84,451.15,0.21,679.79
04-06-2007,8,Heavy fuel oil,,0,31.39,305.95,-7.36,337.34
11-06-2007,1,Euro-Super 95,,224.37,564,557.84,2.36,1346.21
11-06-2007,2,Automotive gas oil,,191.79,423,535.98,2.99,1150.77
11-06-2007,3,Heating gas oil,,183.97,403.21,516.66,11.14,1103.84
11-06-2007,5,LPG,,102.66,125.27,388.04,0,615.97
11-06-2007,6,Residual fuel oil,,62.12,166.84,454.32,3.49,683.28
11-06-2007,8,Heavy fuel oil,,0,31.39,311.62,5.67,343.01
18-06-2007,1,Euro-Super 95,,224.36,564,557.78,-0.07,1346.14
